Year,Month,Consumption,State
2007,2,87387.0,Delaware
2007,3,62714.0,Delaware
2007,4,6472.0,Delaware
2007,5,18706.0,Delaware
2007,6,39938.0,Delaware
2007,7,31406.0,Delaware
2007,8,78371.0,Delaware
2007,9,14032.0,Delaware
2007,10,40966.0,Delaware
2007,11,17510.0,Delaware
2007,12,30628.0,Delaware
2001,1,7416967.0,Florida
2001,2,3928766.0,Florida
2001,3,4437397.0,Florida
2001,4,5675122.0,Florida
2001,5,6012460.0,Florida
2001,6,7107678.0,Florida
2001,7,6667847.0,Florida
2001,8,8609784.0,Florida
2001,9,5269902.0,Florida
2001,10,4650216.0,Florida
2001,11,2976494.0,Florida
2001,12,3024908.0,Florida
2002,1,3267159.0,Florida
2002,2,2387548.0,Florida
2002,3,4783967.0,Florida
2002,4,5084994.0,Florida
2002,5,6294227.0,Florida
2002,6,4563711.0,Florida
2002,7,4715069.0,Florida
2002,8,5271700.0,Florida
2002,9,6194620.0,Florida
2002,10,5909716.0,Florida
2002,11,3229305.0,Florida
2002,12,3299695.0,Florida
2003,1,4579827.0,Florida
2003,2,2958330.0,Florida
2003,3,4704699.0,Florida
2003,4,4076506.0,Florida
2003,5,5951469.0,Florida
2003,6,6496222.0,Florida
2003,7,6764251.0,Florida
2003,8,6375444.0,Florida
2003,9,6406650.0,Florida
2003,10,6101143.0,Florida
2003,11,3152112.0,Florida
2003,12,3485005.0,Florida
2004,1,3440331.8,Florida
2004,2,3295805.6,Florida
2004,3,4176810.53,Florida
2004,4,4368970.53,Florida
2004,5,5322858.02,Florida
2004,6,6936140.49,Florida
2004,7,7014672.67,Florida
2004,8,6828766.57,Florida
2004,9,6222855.25,Florida
2004,10,5453745.11,Florida
2004,11,4050166.98,Florida
2004,12,3781037.54,Florida
2005,1,3776139.67,Florida
2005,2,3133877.19,Florida
2005,3,3792158.6,Florida
2005,4,3989729.59,Florida
2005,5,4936406.88,Florida
2005,6,5684763.86,Florida
2005,7,7359553.06,Florida
2005,8,7583286.24,Florida
2005,9,7303456.23,Florida
2005,10,5081225.4,Florida
2005,11,3628630.16,Florida
2005,12,5137868.44,Florida
2006,1,2943971.99,Florida
2006,2,2247404.09,Florida
2006,3,2017056.97,Florida
2006,4,3117262.87,Florida
2006,5,2778984.02,Florida
2006,6,4052231.42,Florida
2006,7,4166192.36,Florida
2006,8,5983810.13,Florida
2006,9,3377249.37,Florida
2006,10,3206518.31,Florida
2006,11,2553446.64,Florida
2006,12,1733437.28,Florida
2007,1,1775313.0,Florida
2007,2,2640214.0,Florida
2007,3,1824925.0,Florida
2007,4,2695262.0,Florida
2007,5,3236149.0,Florida
2007,6,3453580.0,Florida
2007,7,3660832.0,Florida
2007,8,4895742.0,Florida
2007,9,3413281.0,Florida
2007,10,3273565.0,Florida
2007,11,1149598.0,Florida
2007,12,1133301.0,Florida
2001,1,460661.0,Georgia
2001,2,163794.0,Georgia
2001,3,176669.0,Georgia
2001,4,223682.0,Georgia
2001,5,201003.0,Georgia
2001,6,189103.0,Georgia
2001,7,180130.0,Georgia
2001,8,209818.0,Georgia
2001,9,186515.0,Georgia
2001,10,180957.0,Georgia
2001,11,142014.0,Georgia
2001,12,146559.0,Georgia
2002,1,255903.0,Georgia
2002,2,130343.0,Georgia
2002,3,223283.0,Georgia
2002,4,163026.0,Georgia
2002,5,177599.0,Georgia
2002,6,100588.0,Georgia
2002,7,176224.0,Georgia
2002,8,98719.0,Georgia
2002,9,183528.0,Georgia
2002,10,248653.0,Georgia
2002,11,222567.0,Georgia
2002,12,189118.0,Georgia
2003,1,380045.0,Georgia
2003,2,130126.0,Georgia
2003,3,163059.0,Georgia
2003,4,133485.0,Georgia
2003,5,168026.0,Georgia
2003,6,129184.0,Georgia
2003,7,123808.0,Georgia
2003,8,108623.0,Georgia
2003,9,122748.0,Georgia
2003,10,182788.0,Georgia
2003,11,109169.0,Georgia
2003,12,145027.0,Georgia
2004,1,85368.47,Georgia
2004,2,92742.39,Georgia
2004,3,73178.22,Georgia
2004,4,116398.72,Georgia
2004,5,76839.89,Georgia
2004,6,70472.32,Georgia
2004,7,92844.65,Georgia
2004,8,99870.65,Georgia
2004,9,58991.57,Georgia
2004,10,67898.65,Georgia
2004,11,69691.54,Georgia
2004,12,96555.67,Georgia
2005,1,107024.96,Georgia
2005,2,58696.8,Georgia
2005,3,90022.33,Georgia
2005,4,89698.41,Georgia
2005,5,79827.22,Georgia
2005,6,76882.13,Georgia
2005,7,114371.19,Georgia
2005,8,102021.8,Georgia
2005,9,137694.33,Georgia
2005,10,105062.27,Georgia
2005,11,78896.25,Georgia
2005,12,123244.63,Georgia
2006,1,80816.88,Georgia
2006,2,63974.47,Georgia
2006,3,90265.26,Georgia
2006,4,68045.32,Georgia
2006,5,63017.45,Georgia
2006,6,55503.77,Georgia
2006,7,62549.05,Georgia
2006,8,78612.85,Georgia
2006,9,64390.24,Georgia
2006,10,62126.11,Georgia
2006,11,60199.06,Georgia
2006,12,75443.55,Georgia
2007,1,65263.0,Georgia
2007,2,64004.0,Georgia
2007,3,71254.0,Georgia
2007,4,60034.0,Georgia
2007,5,64866.0,Georgia
2007,6,63940.0,Georgia
2007,7,59223.0,Georgia
2007,8,102905.0,Georgia
2007,9,50968.0,Georgia
2007,10,60633.0,Georgia
2007,11,60405.0,Georgia
2007,12,61083.0,Georgia
2001,1,1176468.0,Hawaii
